TITLE,AUTHOR,GENRE,COMPLETED,RATING,LOANED,BORROWER
To Kill a Mockingbird,Harper Lee,Fiction,,,,
1984,George Orwell,Dystopian,,,,
Pride and Prejudice,Jane Austen,Romance,,,,
The Great Gatsby,F. Scott Fitzgerald,Classic,,,,
Moby-Dick,Herman Melville,Adventure,,,,
War and Peace,Leo Tolstoy,Historical,,,,
The Catcher in the Rye,J.D. Salinger,Young Adult,,,,
Brave New World,Aldous Huxley,Science Fiction,,,,
Jane Eyre,Charlotte Brontë,Gothic,,,,
Crime and Punishment,Fyodor Dostoevsky,Philosophical,,,,
The Hobbit,J.R.R. Tolkien,Fantasy,,,,
Anna Karenina,Leo Tolstoy,Romance,,,,
The Lord of the Rings,J.R.R. Tolkien,Fantasy,,,,
The Brothers Karamazov,Fyodor Dostoevsky,Philosophical,,,,
Wuthering Heights,Emily Brontë,Gothic,,,,
Fahrenheit 451,Ray Bradbury,Dystopian,,,,
The Odyssey,Homer,Epic,,,,
Les Misérables,Victor Hugo,Historical,,,,
Catch-22,Joseph Heller,Satire,,,,
The Divine Comedy,Dante Alighieri,Poetry,,,,
The Alchemist,Paulo Coelho,Philosophical,,,,
The Road,Cormac McCarthy,Post-Apocalyptic,,,,
Memoirs of a Geisha,Arthur Golden,Historical Fiction,,,,
The Kite Runner,Khaled Hosseini,Drama,,,,
The Handmaid's Tale,Margaret Atwood,Dystopian,,,,
The Color Purple,Alice Walker,Historical,,,,
Life of Pi,Yann Martel,Adventure,,,,
The Catch-22 (alternate),Joseph Heller,Satire,,,,
Atonement,Ian McEwan,Drama,,,,
The Outsiders,S.E. Hinton,Young Adult,,,,
The Old Man and the Sea,Ernest Hemingway,Classic,,,,
The Bell Jar,Sylvia Plath,Autobiographical,,,,
The Hunt for Red October,Tom Clancy,Thriller,,,,
The Shining,Stephen King,Horror,,,,
Gone with the Wind,Margaret Mitchell,Historical,,,,
The Fault in Our Stars,John Green,Young Adult,,,,
Norwegian Wood,Haruki Murakami,Contemporary,,,,
The Silence of the Lambs,Thomas Harris,Thriller,,,,
The Name of the Rose,Umberto Eco,Historical Mystery,,,,
The Wind-Up Bird Chronicle,Haruki Murakami,Magical Realism,,,,
Cloud Atlas,David Mitchell,Speculative Fiction,,,,
The Poisonwood Bible,Barbara Kingsolver,Historical,,,,
The Time Traveler's Wife,Audrey Niffenegger,Romance,,,,
The Girl with the Dragon Tattoo,Stieg Larsson,Crime,,,,
The Goldfinch,Donna Tartt,Contemporary,,,,
The Secret History,Donna Tartt,Crime,,,,
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Non-Fiction,,,,
The Road to Serfdom,Friedrich Hayek,Political Economy,,,,
Sapiens,Yuval Noah Harari,Non-Fiction,,,,
"Thinking, Fast and Slow",Daniel Kahneman,Psychology,,,,
The Little Prince,Antoine de Saint-Exupéry,Children's Fiction,,,,
Dracula,Bram Stoker,Horror,,,,
The Picture of Dorian Gray,Oscar Wilde,Gothic,,,,
The Grapes of Wrath,John Steinbeck,Social,,,,
Slaughterhouse-Five,Kurt Vonnegut,Satire,,,,
One Hundred Years of Solitude,Gabriel García Márquez,Magical Realism,,,,
Beloved,Toni Morrison,Historical,,,,
The Sun Also Rises,Ernest Hemingway,Modernist,,,,
A Tale of Two Cities,Charles Dickens,Historical,,,,
The Stranger,Albert Camus,Philosophical,,,,
